instruction,context
"Extract the event name, date, and location from an event listing website.",<html><body><div><div>Event Name:</div><div>Music Concert</div></div><div><div>Date:</div><div>2023-08-15</div></div><div><div>Location:</div><div>Venue XYZ</div></div></body></html>
"Find the event title, description, and organizer from an event page.",<html><body><div><div>Title:</div><div>Conference on AI</div></div><div><div>Description:</div><div>A conference dedicated to artificial intelligence and machine learning.</div></div><div><div>Organizer:</div><div>ABC Events</div></div></body></html>
"Retrieve the event name, start time, and venue details from an event listing.",<html><body><div><div>Event Name:</div><div>Comedy Show</div></div><div><div>Start Time:</div><div>20:00</div></div><div><div>Venue:</div><div>The Laugh Factory</div></div></body></html>
"Extract the event title, date, and ticket price from an event website.",<html><body><div><div>Title:</div><div>Art Exhibition</div></div><div><div>Date:</div><div>2023-09-10</div></div><div><div>Ticket Price:</div><div>$15</div></div></body></html>
"Extract the event name, date, and venue from an event listing webpage.",<html><body><div><div>Event Name:</div><div>Music Festival</div></div><div><div>Date:</div><div>2023-09-01</div></div><div><div>Venue:</div><div>Outdoor Stadium</div></div></body></html>
"Find the event title, description, and location from an event page.",<html><body><div><div>Title:</div><div>Tech Conference</div></div><div><div>Description:</div><div>An annual conference showcasing the latest technology innovations.</div></div><div><div>Location:</div><div>Convention Center</div></div></body></html>
"Retrieve the event name, start time, and address from an event listing.",<html><body><div><div>Event Name:</div><div>Networking Mixer</div></div><div><div>Start Time:</div><div>18:00</div></div><div><div>Address:</div><div>123 Main Street</div></div></body></html>
"Extract the event title, date, and registration fee from an event website.",<html><body><div><div>Title:</div><div>Business Workshop</div></div><div><div>Date:</div><div>2023-10-15</div></div><div><div>Registration Fee:</div><div>$50</div></div></body></html>
"Extract the event names, dates, and venues from an event listing webpage.","<html><body><div><div>Event Name:</div><div>Music Festival</div></div><div><div>Date:</div><div>2023-09-01</div></div><div><div>Venue:</div><div>Outdoor Stadium</div></div></body></html>
<html><body><div><div>Event Name:</div><div>Art Exhibition</div></div><div><div>Date:</div><div>2023-09-05</div></div><div><div>Venue:</div><div>Art Gallery</div></div></body></html>"
"Find the event titles, descriptions, and locations from an event website.","<html><body><div><div>Title:</div><div>Tech Conference</div></div><div><div>Description:</div><div>An annual conference showcasing the latest technology innovations.</div></div><div><div>Location:</div><div>Convention Center</div></div></body></html>
<html><body><div><div>Title:</div><div>Networking Event</div></div><div><div>Description:</div><div>A networking event for professionals in the industry.</div></div><div><div>Location:</div><div>Hotel Ballroom</div></div></body></html>"
"Retrieve the event names, start times, and addresses from an event listing.","<html><body><div><div>Event Name:</div><div>Networking Mixer</div></div><div><div>Start Time:</div><div>18:00</div></div><div><div>Address:</div><div>123 Main Street</div></div></body></html>
<html><body><div><div>Event Name:</div><div>Business Seminar</div></div><div><div>Start Time:</div><div>14:00</div></div><div><div>Address:</div><div>456 Elm Avenue</div></div></body></html>"
"Extract the event titles, dates, and registration fees from an event website.","<html><body><div><div>Title:</div><div>Business Workshop</div></div><div><div>Date:</div><div>2023-10-15</div></div><div><div>Registration Fee:</div><div>$50</div></div></body></html>
<html><body><div><div>Title:</div><div>Marketing Conference</div></div><div><div>Date:</div><div>2023-11-05</div></div><div><div>Registration Fee:</div><div>$100</div></div></body></html>"
"Extract the event names, dates, and venues from an event listing website.",<html><body><div><div>Event Name:</div><div>Music Festival</div></div><div><div>Date:</div><div>2023-09-01</div></div><div><div>Venue:</div><div>Outdoor Stadium</div></div></div><div><div>Event Name:</div><div>Art Exhibition</div></div><div><div>Date:</div><div>2023-09-05</div></div><div><div>Venue:</div><div>Art Gallery</div></div></div></body></html>
"Find the event titles, descriptions, and locations from an event website.",<html><body><div><div>Title:</div><div>Tech Conference</div></div><div><div>Description:</div><div>An annual conference showcasing the latest technology innovations.</div></div><div><div>Location:</div><div>Convention Center</div></div></div><div><div>Title:</div><div>Networking Event</div></div><div><div>Description:</div><div>A networking event for professionals in the industry.</div></div><div><div>Location:</div><div>Hotel Ballroom</div></div></div></body></html>
"Retrieve the event names, start times, and addresses from an event listing.",<html><body><div><div>Event Name:</div><div>Networking Mixer</div></div><div><div>Start Time:</div><div>18:00</div></div><div><div>Address:</div><div>123 Main Street</div></div></div><div><div>Event Name:</div><div>Business Seminar</div></div><div><div>Start Time:</div><div>14:00</div></div><div><div>Address:</div><div>456 Elm Avenue</div></div></div></body></html>
"Extract the event titles, dates, and registration fees from an event website.",<html><body><div><div>Title:</div><div>Business Workshop</div></div><div><div>Date:</div><div>2023-10-15</div></div><div><div>Registration Fee:</div><div>$50</div></div></div><div><div>Title:</div><div>Marketing Conference</div></div><div><div>Date:</div><div>2023-11-05</div></div><div><div>Registration Fee:</div><div>$100</div></div></div></body></html>
"Extract the event names, dates, and venues from a nightclub event listing website.",<html><body><div><div>Event Name:</div><div>Friday Night Live</div></div><div><div>Date:</div><div>2023-09-01</div></div><div><div>Venue:</div><div>Club Paradise</div></div></div><div><div>Event Name:</div><div>Saturday Night Fever</div></div><div><div>Date:</div><div>2023-09-02</div></div><div><div>Venue:</div><div>Electric Dreams</div></div></div></body></html>
"Find the event titles, descriptions, and locations from a nightclub event website.",<html><body><div><div>Title:</div><div>Glow Party</div></div><div><div>Description:</div><div>Experience the ultimate neon party with DJs and glow-in-the-dark decor.</div></div><div><div>Location:</div><div>Rave Warehouse</div></div></div><div><div>Title:</div><div>Latin Salsa Night</div></div><div><div>Description:</div><div>Celebrate the rhythm of Latin music with live bands and dance performances.</div></div><div><div>Location:</div><div>Mambo Lounge</div></div></div></body></html>
"Retrieve the event names, start times, and addresses from a nightclub event listing.",<html><body><div><div>Event Name:</div><div>Throwback Thursdays</div></div><div><div>Start Time:</div><div>21:00</div></div><div><div>Address:</div><div>123 Main Street</div></div></div><div><div>Event Name:</div><div>Hip Hop Night</div></div><div><div>Start Time:</div><div>22:30</div></div><div><div>Address:</div><div>456 Elm Avenue</div></div></div></body></html>
"Extract the event titles, dates, and cover charges from a nightclub event website.",<html><body><div><div>Title:</div><div>Friday Night Jam</div></div><div><div>Date:</div><div>2023-10-15</div></div><div><div>Cover Charge:</div><div>$15</div></div></div><div><div>Title:</div><div>Weekend Rendezvous</div></div><div><div>Date:</div><div>2023-10-16</div></div><div><div>Cover Charge:</div><div>$20</div></div></div></body></html>
"Extract the event names, dates, and venues from a nightclub event listing website.","<html><body><div>Event Name: Friday Night Live</div><div>Date: 2023-09-01</div><div>Venue: Club Paradise</div></body></html>
<html><body><div>Event Name: Saturday Night Fever</div><div>Date: 2023-09-02</div><div>Venue: Electric Dreams</div></body></html>"
"Find the event titles, descriptions, and locations from a nightclub event website.","<html><body><div>Title: Glow Party</div><div>Description: Experience the ultimate neon party with DJs and glow-in-the-dark decor.</div><div>Location: Rave Warehouse</div></body></html>
<html><body><div>Title: Latin Salsa Night</div><div>Description: Celebrate the rhythm of Latin music with live bands and dance performances.</div><div>Location: Mambo Lounge</div></body></html>"
"Retrieve the event names, start times, and addresses from a nightclub event listing.","<html><body><div>Event Name: Throwback Thursdays</div><div>Start Time: 21:00</div><div>Address: 123 Main Street</div></body></html>
<html><body><div>Event Name: Hip Hop Night</div><div>Start Time: 22:30</div><div>Address: 456 Elm Avenue</div></body></html>"
"Extract the event titles, dates, and cover charges from a nightclub event website.","<html><body><div>Title: Friday Night Jam</div><div>Date: 2023-10-15</div><div>Cover Charge: $15</div></body></html>
<html><body><div>Title: Weekend Rendezvous</div><div>Date: 2023-10-16</div><div>Cover Charge: $20</div></body></html>"
"Extract the event names, dates, and venues from a nightclub event listing website.","<html><body><div>Event Name: Summer Groove</div><div>Date: 2023-09-10</div><div>Venue: Beach Club</div></body></html>
<html><body><div>Event Name: Neon Nights</div><div>Date: 2023-09-15</div><div>Venue: Electric Avenue</div></body></html>"
"Find the event titles, descriptions, and locations from a nightclub event website.","<html><body><div>Title: Masquerade Ball</div><div>Description: A glamorous night of mystery and elegance with masks and live performances.</div><div>Location: Grand Ballroom</div></body></html>
<html><body><div>Title: Rhythm Nation</div><div>Description: Get ready to dance all night to the beats of top DJs and pulsating music.</div><div>Location: Club Vibes</div></body></html>"
"Retrieve the event names, start times, and addresses from a nightclub event listing.","<html><body><div>Event Name: Glow Party</div><div>Start Time: 20:00</div><div>Address: 789 Main Street</div></body></html>
<html><body><div>Event Name: Silent Disco</div><div>Start Time: 22:30</div><div>Address: 987 Elm Avenue</div></body></html>"
"Extract the event titles, dates, and cover charges from a nightclub event website.","<html><body><div>Title: Electro Beats</div><div>Date: 2023-10-20</div><div>Cover Charge: $10</div></body></html>
<html><body><div>Title: Retro Rewind</div><div>Date: 2023-10-25</div><div>Cover Charge: $12</div></body></html>"
Extract all information of the events between 20/04/23 and 27/04/2023.,<html><body><div><div>Title:</div><div>Music Festival</div></div><div><div>Date:</div><div>2023-04-22</div></div><div><div>Location:</div><div>Park Grounds</div></div></div><div><div>Title:</div><div>Art Exhibition</div></div><div><div>Date:</div><div>2023-04-25</div></div><div><div>Location:</div><div>Art Gallery</div></div></div><div><div>Title:</div><div>Dance Showcase</div></div><div><div>Date:</div><div>2023-04-26</div></div><div><div>Location:</div><div>Dance Theater</div></div></div></body></html>
Find all the details of events occurring between 20/04/23 and 27/04/2023.,<html><body><div><div>Event Name:</div><div>Conference</div></div><div><div>Date:</div><div>2023-04-19</div></div><div><div>Location:</div><div>Convention Center</div></div></div><div><div>Event Name:</div><div>Music Concert</div></div><div><div>Date:</div><div>2023-04-22</div></div><div><div>Location:</div><div>Stadium</div></div></div><div><div>Event Name:</div><div>Art Show</div></div><div><div>Date:</div><div>2023-04-24</div></div><div><div>Location:</div><div>Art Gallery</div></div></div></body></html>
Retrieve all the event information for events taking place between 20/04/23 and 27/04/2023.,<html><body><div><div>Event Name:</div><div>Comedy Night</div></div><div><div>Date:</div><div>2023-04-20</div></div><div><div>Location:</div><div>Comedy Club</div></div></div><div><div>Event Name:</div><div>Live Music Performance</div></div><div><div>Date:</div><div>2023-04-23</div></div><div><div>Location:</div><div>Music Venue</div></div></div><div><div>Event Name:</div><div>Food Festival</div></div><div><div>Date:</div><div>2023-04-26</div></div><div><div>Location:</div><div>Park</div></div></div></body></html>
Extract all information of the nightclub events between 20/04/23 and 27/04/2023.,<html><body><div><div>Title:</div><div>Friday Night Live</div></div><div><div>Date:</div><div>2023-04-22</div></div><div><div>Location:</div><div>Club Paradise</div></div></div><div><div>Title:</div><div>Saturday Night Fever</div></div><div><div>Date:</div><div>2023-04-25</div></div><div><div>Location:</div><div>Electric Dreams</div></div></div><div><div>Title:</div><div>Dance Party Extravaganza</div></div><div><div>Date:</div><div>2023-04-26</div></div><div><div>Location:</div><div>Ultra Lounge</div></div></div></body></html>
Find all the details of nightclub events occurring between 20/04/23 and 27/04/2023.,<html><body><div><div>Event Name:</div><div>Neon Glow Party</div></div><div><div>Date:</div><div>2023-04-19</div></div><div><div>Location:</div><div>Club Neon</div></div></div><div><div>Event Name:</div><div>Hip Hop Night</div></div><div><div>Date:</div><div>2023-04-22</div></div><div><div>Location:</div><div>The Underground</div></div></div><div><div>Event Name:</div><div>Latin Salsa Night</div></div><div><div>Date:</div><div>2023-04-24</div></div><div><div>Location:</div><div>Salsa Lounge</div></div></div></body></html>
Retrieve all the event information for nightclub events taking place between 20/04/23 and 27/04/2023.,<html><body><div><div>Event Name:</div><div>Throwback Thursdays</div></div><div><div>Date:</div><div>2023-04-20</div></div><div><div>Location:</div><div>Retrospect Club</div></div></div><div><div>Event Name:</div><div>EDM Night</div></div><div><div>Date:</div><div>2023-04-23</div></div><div><div>Location:</div><div>Bass Arena</div></div></div><div><div>Event Name:</div><div>Glow in the Dark Rave</div></div><div><div>Date:</div><div>2023-04-26</div></div><div><div>Location:</div><div>UV Lounge</div></div></div></body></html>
Extract all information of the nightclub events between 10/05/2023 and 20/05/2023.,<html><body><div class='event'><div>Title:</div><div>Friday Night Live</div><div><div>Date:</div><div>2023-05-12</div></div><div><div>Location:</div><div>Club Paradise</div></div></div></div><div class='event'><div>Title:</div><div>Saturday Night Fever</div><div><div>Date:</div><div>2023-05-15</div></div><div><div>Location:</div><div>Electric Dreams</div></div></div></div><div class='event'><div>Title:</div><div>Dance Party Extravaganza</div><div><div>Date:</div><div>2023-05-18</div></div><div><div>Location:</div><div>Ultra Lounge</div></div></div></div></body></html>
Find all the details of nightclub events occurring between 15/05/2023 and 25/05/2023.,<html><body><div class='event'><div>Event Name:</div><div>Neon Glow Party</div><div><div>Date:</div><div>2023-05-14</div></div><div><div>Location:</div><div>Club Neon</div></div></div></div><div class='event'><div>Event Name:</div><div>Hip Hop Night</div><div><div>Date:</div><div>2023-05-18</div></div><div><div>Location:</div><div>The Underground</div></div></div></div><div class='event'><div>Event Name:</div><div>Latin Salsa Night</div><div><div>Date:</div><div>2023-05-20</div></div><div><div>Location:</div><div>Salsa Lounge</div></div></div></div></body></html>
Retrieve all the event information for nightclub events taking place between 12/05/2023 and 22/05/2023.,<html><body><div class='event'><div>Event Name:</div><div>Throwback Thursdays</div><div><div>Date:</div><div>2023-05-11</div></div><div><div>Location:</div><div>Retrospect Club</div></div></div></div><div class='event'><div>Event Name:</div><div>EDM Night</div><div><div>Date:</div><div>2023-05-16</div></div><div><div>Location:</div><div>Bass Arena</div></div></div></div><div class='event'><div>Event Name:</div><div>Glow in the Dark Rave</div><div><div>Date:</div><div>2023-05-19</div></div><div><div>Location:</div><div>UV Lounge</div></div></div></div></body></html>
Extract all the information about the event.,"<div><div><div><div><a><img src=""data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC""/></a></div><div><h2><a><span>37. Sommerfest</span></a></h2><p><span>21.07.2023, 19:00 Uhr</span> bis <span>23.07.2023</span><span><span><meta/><meta/></span><span>DJK Tischtennis e.V.</span>, <span><span>Wacholderweg 13</span>, <span>66265</span><span>Heusweiler</span></span></span><span>DJK Tischtennis e.V., Wacholderweg 13, Heusweiler</span></p><p>Sonstige</p><p>37. Sommerfest, Rund um die Sporthalle der Johann-Wolfgang-von-Goethe-Schule, Richard-Wagner-Straße - Wir freuen uns auf euch! <a>Mehr</a> ›</p><a><i></i></a></div><div></div></div><div></div></div></div>"
Extract all the information about the event.,"<div><div><div><div><a><img src=""data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC""/></a></div><div><h2><a><span>Halloween Party</span></a></h2><p><span>31.10.2023, 20:00 Uhr</span> bis <span>01.11.2023</span><span><span><meta/><meta/></span><span>Haunted Mansion</span>, <span><span>123 Spooky Street</span>, <span>98765</span><span>Ghost Town</span></span></span><span>Haunted Mansion, 123 Spooky Street, Ghost Town</span></p><p>Sonderveranstaltung</p><p>Halloween Party at Haunted Mansion - Come and join us for a spooky night of fun and fright! <a>More</a> ›</p><a><i></i></a></div><div></div></div><div></div></div></div>"
Extract all the information about the event.,"<div><div><div><div><a><img src=""data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC""/></a></div><div><h2><a><span>New Year's Eve Bash</span></a></h2><p><span>31.12.2023, 21:00 Uhr</span> bis <span>01.01.2024</span><span><span><meta/><meta/></span><span>Party Palace</span>, <span><span>456 Celebration Street</span>, <span>54321</span><span>Party Town</span></span></span><span>Party Palace, 456 Celebration Street, Party Town</span></p><p>Silvester</p><p>Join us for an unforgettable New Year's Eve Bash at Party Palace! Live music, fireworks, and a night full of celebration. <a>More</a> ›</p><a><i></i></a></div><div></div></div><div></div></div></div>"
Extract all the information about the upcoming concert.,"<div><div><div><div><a><img src=""data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC""/></a></div><div><h2><a><span>Summer Music Festival</span></a></h2><p><span>15.08.2023, 18:00 Uhr</span> bis <span>17.08.2023</span><span><span><meta/><meta/></span><span>Concert Arena</span>, <span><span>Main Street 123</span>, <span>98765</span><span>Cityville</span></span></span><span>Concert Arena, Main Street 123, Cityville</span></p><p>Music Festival</p><p>Don't miss out on the Summer Music Festival! Join us for three days of live performances by top artists from around the world. <a>More</a> ›</p><a><i></i></a></div><div></div></div><div></div></div></div>"
Extract all the information about the charity gala.,"<div><div><div><div><a><img src=""data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC""/></a></div><div><h2><a><span>Charity Gala Night</span></a></h2><p><span>05.09.2023, 19:30 Uhr</span> bis <span>06.09.2023</span><span><span><meta/><meta/></span><span>Grand Ballroom</span>, <span><span>Elegance Avenue 789</span>, <span>54321</span><span>Glamour City</span></span></span><span>Grand Ballroom, Elegance Avenue 789, Glamour City</span></p><p>Charity Event</p><p>Join us for a glamorous Charity Gala Night and contribute to a good cause. Enjoy an evening of elegance, fine dining, and entertainment. <a>More</a> ›</p><a><i></i></a></div><div></div></div><div></div></div></div>"
